,Pull Date,App ID,HUC-12,Demand,Allocation,Right Type,Active?,File Date,Shortage
54,10/1/1977,S000269,180201220702,0.27419354838709675,0.27419355,Appropriative,True,,-1.6129032553990896e-09
55,10/1/1977,S012221,180201220702,0.4838709677419355,0.48387097,Appropriative,True,,-2.2580645131498045e-09
56,10/1/1977,S013110,180201250704,0.0,0.0,Appropriative,False,,0.0
57,10/1/1977,S000268,180201220702,3.870967741935484,3.8709677,Appropriative,True,,4.1935483974242516e-08
58,10/1/1977,S000264,180201220702,2.9838709677419355,2.983871,Appropriative,True,,-3.225806466389258e-08
59,10/1/1977,S000263,180201220702,3.5483870967741935,3.5483871,Appropriative,True,,-3.2258062887535743e-09
60,10/1/1977,S000262,180201220702,16.129032258064516,16.129032,Appropriative,True,,2.5806451731114066e-07
61,10/1/1977,S014250,180200040301,0.3225806451612903,0.32258065,Appropriative,True,,-4.838709710686118e-09
62,10/1/1977,S001248,180201290301,0.00014849454838709676,0.0,Appropriative,True,,0.00014849454838709676
63,10/1/1977,S003174,180201230604,0.14774193548387096,0.14774194,Appropriative,True,,-4.516129026299609e-09
64,10/1/1977,S003173,180201230604,0.4804301074193549,0.48043011,Appropriative,True,,-2.580645142025162e-09
65,10/1/1977,S016092,180201250603,2.096774193548387,0.0,Appropriative,True,,2.096774193548387
66,10/1/1977,S001063,180201160703,0.45161290322580644,0.4516129,Appropriative,True,,3.225806455287028e-09
67,10/1/1977,S013926,180201260202,3.274193548387097,3.2741935,Appropriative,True,,4.8387096995838874e-08
68,10/1/1977,S000609,180201160703,0.0,0.0,Appropriative,False,,0.0
69,10/1/1977,S004717,180201250603,29.516129032258064,0.0,Appropriative,True,,29.516129032258064
70,10/1/1977,S013390,180201220702,0.16236542309677418,0.16236542,Appropriative,True,,3.0967741704301943e-09
71,10/1/1977,S000950,180201250602,0.0,0.0,Appropriative,False,,0.0
72,10/1/1977,S008448,180201540401,0.0,0.0,Appropriative,False,,0.0
73,10/1/1977,S001241,180201250804,1.2387096774193548e-07,0.0,Appropriative,True,,1.2387096774193548e-07
